"id","label","markdown"
"015416de-fb27-4771-bd5d-c0bca1e04b4c","js-challenge-9","<br />Днес ще направим приложение за футболни залагания! Да предположим, че получаваме данни от уеб услуга за даден мач (по-долу). В това предизвикателство ще работим с тези данни

<br /> ```javascript
const game = {
  team1: 'Real Madrid',
  team2: 'FC Barcelona',
  players: [
    [
      'Lunin',
      'Vazquez',
      'Militao',
      'Rudiger',
      'Mendy',
      'Tchouameni',
      'Camavinga',
      'Valverde',
      'Bellingham',
      'Vinicius',
      'Mbappe',
    ],
    [
      'Pena',
      'Kounde',
      'Cubarsi',
      'Martinez',
      'Balde',
      'Pedri',
      'Casado',
      'Fermin',
      'Yamal',
      'Lewandowski',
      'Raphinha',
    ],
  ],
  score: '0:4',
  scored: ['Lewandowski', 'Lewandowski', 'Yamal', 'Raphinha'],
  date: 'Oct 26th, 2037',
  odds: {
    team1: 2.50,
    x: 5.50,
    team2: 3.75,
  },
};
```

### Задача

1. Създай по един масив с играчи за всеки отбор (променливи players1 и players2).<br /><br />

2. Първият играч във всеки масив с играчи е вратарят, а останалите са полеви играчи.
   За Барселона (отбор 2) създай една променлива (gk) с името на вратаря и един масив (fieldPlayers) с останалите 10 полеви играчи.<br /><br />

3. Създай масив allPlayers, съдържащ всички играчи на двата отбора (22 играчи).<br /><br />

4. По време на мача Барселона (отбор 2) използва 3 резервни играчи. Създай нов масив (players1Final), съдържащ всички оригинални играчи на отбор 2 плюс 'Frenkie de Jong', 'Dani Olmo' и 'Gavi'.<br /><br />

5. Въз основа на обекта game.odds, създай по една променлива за всеки коефициент (наречени 'team1', 'draw' и 'team2').<br /><br />

6. Напиши функция (printGoals), която получава произволен брой имена на играчи (НЕ масив) и отпечатва всяко от тях на конзолата, заедно с общия брой отбелязани голове (броя на подадените имена на играчи).<br /><br />

7. Отборът с по-нисък коефициент е по-вероятно да спечели. Отпечатай в конзолата кой отбор има по-големи шансове за победа, БЕЗ да използваш if/else израз или тернарен оператор.<br /><br />

### ТЕСТОВИ ДАННИ ЗА ТОЧКА 6:

Използвай играчите 'Lewandowski', 'Lewandowski', 'Yamal', 'Raphinha'. След това извикай функцията отново с играчите от game.scored.<br /><br />"
"04407eb6-12ec-4ee7-973f-59f48734dc83","resource-colors-open-color","<br/>
Open Color е отворен източник на цветови схеми, оптимизирани специално за потребителски интерфейси (UI). Това е моят основен ресурс, когато избирам цветове от самото начало за всеки проект. Предлага лесен и структуриран начин за избор на цветови палитри, които подобряват визуалното въздействие.<br/><br/>
👉 Виж повече [ТУК](https://yeun.github.io/open-color/)<br/><br/>

### При затруднение се свържи с мен за помощ, ще се заема с казуса ти директно, без да губиш време!
<hr style=""margin-block: 15px""/>

1. Последвай ме за ексклузивно съдържание: [YouTube](""https://www.youtube.com/@marto171""), [Instagram](""https://www.instagram.com/marto_171"")<br/><br/>

<div style=""background-color: #f8f7f5; color: #555555; border-left: solid 5px #5C45FD; padding-inline: 1rem; padding-block: 0.5rem "">
    <strong>Отказ от отговорност по отношение на успех</strong> Материалите от нашия курс се предоставят само с образователна цел и не гарантират успех. Резултатите са различни и зависят от индивидуалните усилия и обстоятелства. Показаните примери не са типични и няма гаранция, че ще постигнете подобни резултати. Само упоритата работа се отплаща!
</div>
"
"061609c8-c971-423d-8ffd-fa2258145a77","resource-icons-font-awesome","<br/>
Font Awesome е изключително популярен иконичен шрифт, който съдържа над 1000 икони, разделени в множество категории. Това е един от най-използваните ресурси за добавяне на икони към уеб проекти, благодарение на своята гъвкавост и лесна интеграция.<br/><br/>
👉 Виж повече [ТУК](https://fontawesome.com/)<br/><br/>

### При затруднение се свържи с мен за помощ, ще се заема с казуса ти директно, без да губиш време!
<hr style=""margin-block: 15px""/>

1. Последвай ме за ексклузивно съдържание: [YouTube](""https://www.youtube.com/@marto171""), [Instagram](""https://www.instagram.com/marto_171"")<br/><br/>

<div style=""background-color: #f8f7f5; color: #555555; border-left: solid 5px #5C45FD; padding-inline: 1rem; padding-block: 0.5rem "">
    <strong>Отказ от отговорност по отношение на успех</strong> Материалите от нашия курс се предоставят само с образователна цел и не гарантират успех. Резултатите са различни и зависят от индивидуалните усилия и обстоятелства. Показаните примери не са типични и няма гаранция, че ще постигнете подобни резултати. Само упоритата работа се отплаща!
</div>"
"1a625369-2a05-415e-b4e9-1e610ddee15a","js-challenge-11","<br />Нека продължим с нашето приложение за футболни залози! Този път имаме множество с хронология на събитията, които са се случили по време на мача. Стойностите са самите събития, а ключовете са минутите, в които всяко събитие се е случило (един футболен мач има 90 минути плюс допълнително време).

<br /> ```javascript
const gameEvents = new Map([
[8, '⚽️ GOAL'],
[15, '🟨 Yellow card'],
[36, '🔁 Substitution'],
[44, '🟨 Yellow card'],
[56, '⚽️ GOAL'],
[57, '🔁 Substitution'],
[61, '🔁 Substitution'],
[65, '🟥 Red card'],
[69, '🔁 Substitution'],
[77, '🔁 Substitution'],
[77, '⚽️ GOAL'],
[82, '🟨 Yellow card'],
[84, '⚽️ GOAL'],
[87, '🟨 Yellow card'],
[90, '🔁 Substitution'],
]);
```

### Задача

1. Създайте масив 'meetings' с различните събития от мача (без дубликати).<br /><br />

2. След като мачът е приключил, се установява, че червеният картон от 65-тата минута е бил несправедлив. Затова премахнете това събитие от хронологията на събитията.<br /><br />

3. Отпечатайте следния низ в конзолата: "" Събитие се е случвало средно на всеки 6 минути."" (имайте предвид, че един мач има 90 минути).<br /><br />

4. Обходете събитията и ги изведете в конзолата, като отбележите дали са в първото или второто полувреме (след 45-тата минута) на мача, по следния начин:

   <br />  [ПЪРВО ПОЛУВРЕМЕ] 8: ⚽️ GOAL"
"201c3a98-3193-4f64-8ff1-a515fe54d37e","resource-html","<br/>
HTML5 Reference by MDN е изчерпателен ресурс, предоставящ пълна информация за всички HTML елементи. Той е удобен за разработчици, които не е нужно да знаят всеки елемент наизуст, тъй като могат лесно да се обърнат към тази справка при нужда. Това го прави изключително полезен инструмент за бърза и точна информация по време на уеб разработка.<br/><br/>
👉 Виж повече [ТУК](https://developer.mozilla.org/en-US/docs/Web/HTML/Element)<br/><br/>

### При затруднение се свържи с мен за помощ, ще се заема с казуса ти директно, без да губиш време!
<hr style=""margin-block: 15px""/>

1. Последвай ме за ексклузивно съдържание: [YouTube](""https://www.youtube.com/@marto171""), [Instagram](""https://www.instagram.com/marto_171"")<br/><br/>

<div style=""background-color: #f8f7f5; color: #555555; border-left: solid 5px #5C45FD; padding-inline: 1rem; padding-block: 0.5rem "">
    <strong>Отказ от отговорност по отношение на успех</strong> Материалите от нашия курс се предоставят само с образователна цел и не гарантират успех. Резултатите са различни и зависят от индивидуалните усилия и обстоятелства. Показаните примери не са типични и няма гаранция, че ще постигнете подобни резултати. Само упоритата работа се отплаща!
</div>"
"2096b516-3f48-41ea-814b-538409d94ef7","resource-fonts-google","<br/>
Google Fonts е най-добрият ресурс за безплатни и лесни за използване уеб шрифтове. Той предлага огромна библиотека от разнообразни шрифтове, които можеш лесно да интегрираш в своите проекти. Перфектен избор за разработчици и дизайнери, които искат да подобрят визията на своите уебсайтове.<br/><br/>
👉 Виж повече [ТУК](https://fonts.google.com/)<br/><br/>

### При затруднение се свържи с мен за помощ, ще се заема с казуса ти директно, без да губиш време!
<hr style=""margin-block: 15px""/>

1. Последвай ме за ексклузивно съдържание: [YouTube](""https://www.youtube.com/@marto171""), [Instagram](""https://www.instagram.com/marto_171"")<br/><br/>

<div style=""background-color: #f8f7f5; color: #555555; border-left: solid 5px #5C45FD; padding-inline: 1rem; padding-block: 0.5rem "">
    <strong>Отказ от отговорност по отношение на успех</strong> Материалите от нашия курс се предоставят само с образователна цел и не гарантират успех. Резултатите са различни и зависят от индивидуалните усилия и обстоятелства. Показаните примери не са типични и няма гаранция, че ще постигнете подобни резултати. Само упоритата работа се отплаща!
</div>"
"354d133f-75c7-4f73-9be6-a25125c00900","js-challenges-note","<br />
Предстои ви първото предизвикателство в този модул!<br /><br />


Не пропускайте предизвикателствата – те са ключови за вашето развитие в обучението!<br /><br />


Ето как работят предизвикателствата в модула „JavaScript“:<br /><br />


🚀 Всяко предизвикателство представлява „Упражнение за кодиране“, което можете да решавате директно в редактора си за код.<br /><br />


💡 Ако се затруднявате, ще получите съвети и връзки към свързани лекции.<br /><br />


✅ Предайте за преглед от ментор - прикачвате всяко едно от предизвикателствата за линка под лекцията.<br /><br />


Успех и приятно кодиране! 👨‍💻<br /><br />"
"35549224-2b20-4b71-be20-74ab83bfa906","js-challenge-5","<br />
Два гимнастически отбора, Тигрите и Лъвовете, се състезават в нова гимнастическа дисциплина, която работи по различен начин.<br /><br />

Всеки отбор се състезава 3 пъти, след което се изчислява средната оценка от трите резултата (така че има по една средна оценка за всеки отбор).<br /><br />

Един отбор печели само ако има поне двойно по-висока средна оценка от другия отбор. В противен случай, никой отбор не печели!<br /><br />

### Задача

1. Създай стрелкова функция calcAverage, която изчислява средната стойност на 3 резултата. Тази функция трябва да има три параметъра и да връща едно число (средната оценка).<br /><br />

2. Създай две нови променливи — `scoreTigers` и `scoreLions`, и им присвой стойността, върната от функцията `calcAverage` (ще трябва да извикаш тази функция и да предадеш резултати като аргументи).<br /><br />

3. Създай функция checkWinner, която приема средната оценка на всеки отбор като параметри (`avgTigers` и `avgLions`), след което логва победителя в конзолата, заедно с точките на победата, според правилото по-горе. Пример: „Лъвовете печелят (30 срещу 13)” (използвай avgTigers и avgLions вместо твърди стойности).<br /><br />

4. Използвай функцията checkWinner, за да определиш победителя за ДАННИ 1 и ДАННИ 2.<br /><br />

Пренебрегни равенствата този път. Вместо това, логвай „Никой отбор не печели...“ в конзолата, ако няма победител.

### Тестови данни
#### ТЕСТ ДАННИ #1
Тигрите получиха 55, 21 и 69 точки. Лъвовете получиха 53, 51 и 48 точки.<br /><br />
#### ТЕСТ ДАННИ #2
Тигрите получиха 53, 10 и 43 точки. Лъвовете получиха 21, 35 и 29 точки.<br /><br />

Прикачи своето готово предизвикателство [ТУК](https://classroom.google.com/w/NzA5MjE2MTM0MTAz/tc/NzEwMjA2NjkxNDU2)"
"37300147-82f0-4abc-9cdb-0cda669fe962","resource-design-awwards","<br/>
Awwwards е платформа, която награждава дизайн, креативност и иновации в интернет. Тук ще откриеш най-добрите уебсайтове, представени от дизайнери от цял свят, като този ресурс е идеален за вдъхновение и изучаване на най-добрите практики в уеб дизайна.<br/><br/>
👉 Виж повече [ТУК](https://www.awwwards.com/)<br/><br/>

### При затруднение се свържи с мен за помощ, ще се заема с казуса ти директно, без да губиш време!
<hr style=""margin-block: 15px""/>

1. Последвай ме за ексклузивно съдържание: [YouTube](""https://www.youtube.com/@marto171""), [Instagram](""https://www.instagram.com/marto_171"")<br/><br/>

<div style=""background-color: #f8f7f5; color: #555555; border-left: solid 5px #5C45FD; padding-inline: 1rem; padding-block: 0.5rem "">
    <strong>Отказ от отговорност по отношение на успех</strong> Материалите от нашия курс се предоставят само с образователна цел и не гарантират успех. Резултатите са различни и зависят от индивидуалните усилия и обстоятелства. Показаните примери не са типични и няма гаранция, че ще постигнете подобни резултати. Само упоритата работа се отплаща!
</div>"
"37650f84-ee3e-4caf-9ee1-67696af68583","js-challenge-1","### Задача

Веселин и Мартин се опитват да сравнят техните индекси на телесна маса (BMI), който се изчислява с формулата:<br /><br />


BMI = маса / (височина * височина)<br /><br />

Мерни единици - (маса в кг и височина в метри).<br /><br />


Твоята задача е да напишеш код, който да им помогне да пресмятат индекса си по-лесно. Следвай следните стъпки:<br /><br />


1. Съхрани масата и височината на Веселин и Мартин в променливи, наречени massVeselin, heightVeselin, massMartin и heightMartin.<br /><br />


2. Изчисли техните BMI-та, използвайки формулата, и съхрани резултатите в две променливи, наречени BMIVeselin и BMIMartin.<br /><br />


3. Логни стойностите на BMIVeselin и BMIMartin в конзолата.<br /><br />


БОНУС: Създай булева променлива veselinHigherBMI, която съдържа информация дали Веселин има по-висок BMI от Мартин. Логни и нея в конзолата.
### Тестови данни
#### ТЕСТ ДАННИ #1

Веселин тежи 78 кг и е висок 1.69 м.

Мартин тежи 92 кг и е висок 1.95 м.
#### ТЕСТ ДАННИ #2

Веселин тежи 95 кг и е висок 1.88 м.

Мартин тежи 85 кг и е висок 1.76 м.<br /><br />
Прикачи своето готово предизвикателство [ТУК](https://classroom.google.com/w/NzA5MjE2MTM0MTAz/tc/NzEwMjA2NjkxNDU2)"
